Extracted from emacs with M-x describe-input-method.
!`	¡
\Longrightarrow	⇒
\curvearrowleft	↶
\downdownarrows	⇊
\hookrightarrow	↪
\leftleftarrows	⇇
\leftrightarrow	↔
\leftthreetimes	⋋
\longrightarrow	→
\looparrowright	↬
\multiplication	×
\nshortparallel	∦
\ntriangleright	⋫
\rightarrowtail	↣
\rightharpoonup	⇀
\sphericalangle	∢
\textopenbullet	◦
\trianglelefteq	⊴
\uprightharpoon	↾
^\H With Stroke	ꟸ
^\bottom half o	ᵕ
^\i with stroke	ᶤ
^\turned open e	ᵌ
^\turned r hook	ʵ
\bigtriangledown	▽
\circlearrowleft	↺
\curvearrowright	↷
\downleftharpoon	⇃
\leftharpoondown	↽
\leftrightarrows	⇆
\nLeftrightarrow	⇎
\nleftrightarrow	↮
\ntrianglelefteq	⋬
\rightleftarrows	⇄
\rightthreetimes	⋌
\squigarrowright	⇝
\textinterrobang	‽
\textmusicalnote	♪
\trianglerighteq	⊵
\vartriangleleft	⊲
\circlearrowright	↻
\downrightharpoon	⇂
\ntrianglerighteq	⋭
\rightharpoondown	⇁
\rightrightarrows	⇉
\twoheadleftarrow	↞
\vartriangleright	⊳
^\reversed open e	ᶟ
\blacktriangledown	▾
\blacktriangleleft	◂
\leftrightharpoons	⇋
\rightleftharpoons	⇌
\textcolonmonetary	₡
\textreferencemark	※
\twoheadrightarrow	↠
^\n with left hook	ᶮ
^\u with left hook	ꭟ
\Longleftrightarrow	⇔
\blacktriangleright	▸
\longleftrightarrow	↔
\textpertenthousand	‱
\leftrightsquigarrow	↭
\textfractionsolidus	⁄
^\capital inverted r	ʶ
^\turned r with hook	ʵ
^\j with crossed-tail	ᶨ
^\l with middle tilde	ꭞ
^\l with palatal hook	ᶪ
^\t with palatal hook	ᶵ
^\capital i with stroke	ᶧ
^\dotless j with stroke	ᶡ
^\l with retroflex hook	ᶩ
^\n with retroflex hook	ᶯ
^\reversed glottal stop	ˤ
^\z with retroflex hook	ᶼ
^\l with inverted lazy s	ꭝ
^\turned m with long leg	ᶭ
